Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Coal Supply Region,Production (short tons),Average Employees,Labor Hours
2023,1519823,White Oak,Kentucky (East),Martin,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Lexington Coal Company, Llc","P.O. Box 299, Sidney, KY 41564",,Appalachia Central,9,8,"3,187"
2023,1519922,Mbm#1,Kentucky (East),Martin,Active,Surface,Independent Producer Operator,Mine only,Jigsaw Enterprises Llc,"190 Left Fork Island Creek, Pikeville, KY 41501",,Appalachia Central,"2,20,636",17,"38,100"
2023,1519934,Middle Fork Strip,Kentucky (East),Martin,Active,Surface,Independent Producer Operator,Mine only,"Wilson Mining, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,"9,383",2,"3,686"
2023,1519787,Mine # 1,Kentucky (East),Morgan,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Thumper Coal Llc,"4537 Ky Route 302, Van Lear, KY 41265",,Appalachia Central,"67,537",10,"10,072"
2023,1519846,Advanced Restoration Technolog,Kentucky (East),Morgan,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Nev Llc,"2024 Town Center Blvd., #181, Knoxville, TN 37922",,Appalachia Central,"5,000",4,"2,400"
2023,1519356,Parkway Refuse,Kentucky (West),Muhlenberg,"Active, men working, not producing",Underground,Operating Subsidiary,Preparation Plant,Muhlenberg County Coal Resourc,"P.O. Box 10, Centertown, KY 42328",,Illinois Basin,0,53,"1,24,956"
2023,1519744,Pride,Kentucky (West),Muhlenberg,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,Muhlenberg County Coal Resourc,"65 Whippoorwill Hill, Powderly, KY 42367",,Illinois Basin,"17,15,999",209,"5,94,015"
2023,1519800,Courtland,Kentucky (East),Owsley,Permanently abandoned,Surface,Independent Producer Operator,Mine only,T&t Coal Company Inc.,"1167 Shib Branch Road, Manchester, KY 40962",,Appalachia Central,"10,597",6,"6,442"
2023,1509636,No. 77,Kentucky (East),Perry,Active,Underground,Operating Subsidiary,Mine only,Blue Diamond Coal Co,"250 West Main Street, Suite 20, Lexington, KY 40507",,Appalachia Central,"3,10,576",73,"1,87,944"
2023,1513495,Kentucky River Loading,Kentucky (East),Perry,Active,Surface,Operating Subsidiary,Preparation Plant,Pine Branch Mining Llc,"250 West Main Street, Suite 20, Lexington, KY 40507",,Appalachia Central,0,14,"34,980"
2023,1516520,No. 76  Plant,Kentucky (East),Perry,Active,Underground,Operating Subsidiary,Preparation Plant,Blue Diamond Coal Company,"250 West Main Street, Suite 20, Lexington, KY 40507",,Appalachia Central,0,44,"1,04,133"
2023,1516883,Combs Branch Job,Kentucky (East),Perry,Active,Surface,Independent Producer Operator,Mine only,Pine Branch Mining Llc,"250 West Main Street, Suite 20, Lexington, KY 40507",,Appalachia Central,"1,45,827",14,"39,341"
2023,1518565,Bear Branch 2,Kentucky (East),Perry,Active,Underground,Operating Subsidiary,Mine only,Blue Diamond Mining Llc,"250 West Main Street, Suite 20, Lexington, KY 40507",,Appalachia Central,"4,74,815",131,"3,26,102"
2023,1518781,Chavies Job #7,Kentucky (East),Perry,Permanently abandoned,Surface,Independent Producer Operator,Mine only,B & W Resources Inc,"300 Liperote Way, London, KY 40741",,Appalachia Central,"17,030",5,"4,213"
2023,1518837,A24,Kentucky (East),Perry,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Hendrickson Equipment, Inc.","29 Porter Hill, Box 293, Stanville, Ky, KY 41659",,Appalachia Central,"12,344",4,"5,250"
2023,1518966,East Mac & Nellie,Kentucky (East),Perry,Active,Surface,Operating Subsidiary,Mine only,Pine Branch Mining Llc,"250 West Main Street, Suite 20, Lexington, KY 40507",,Appalachia Central,"9,44,896",102,"2,70,380"
2023,1519281,#1,Kentucky (East),Perry,Active,Underground,Independent Producer Operator,Mine only,"Ki-Coal, Inc.","1858 Long Fork Road, Virgie, KY 41572",,Appalachia Central,"53,128",12,"24,979"
2023,1519419,Noble Mine #2,Kentucky (East),Perry,Active,Surface,Independent Producer Operator,Mine only,Noble Construction,"P.O. Box 83, Bulan, KY 41722",,Appalachia Central,"48,164",11,"20,497"
2023,1507907,Huff Preparation Plant,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Preparation Plant,"Northstar Operating Company, L","750 Town Mtn. Rd, Pikeville, KY 41501",,Appalachia Central,0,9,"18,644"
2023,1507907,Huff Preparation Plant,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Preparation Plant,"Northstar Operating Company, L","750 Town Mtn. Rd, Pikeville, KY 41501",,Appalachia Central,0,6,"11,427"
2023,1509724,Winifrede Surface Mine,Kentucky (East),Pike,"Active, men working, not producing",Surface,Independent Producer Operator,Preparation Plant,"Lexington Coal Company, Llc","P.O. Box 58370, Charleston, WV 25358",,Appalachia Central,0,16,"9,400"
2023,1510445,Bevins Branch Preparation Plan,Kentucky (East),Pike,"Active, men working, not producing",Underground,Independent Producer Operator,Preparation Plant,Mccoy Elkhorn Coal Co.,"P.O. Box 4312, Pikeville, KY 41502",,Appalachia Central,0,9,"17,539"
2023,1511162,Plant No. 1,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Preparation Plant,"Star Ridge Land, Llc  Llc","5263 State Highway 194 East, Kimper, KY 41539",,Appalachia Central,0,16,"38,621"
2023,1511162,Plant No. 1,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Preparation Plant,"Star Ridge Land, Llc  Llc","5263 State Highway 194 East, Kimper, KY 41539",,Appalachia Central,0,14,"32,899"
2023,1512896,Jamboree Loadout,Kentucky (East),Pike,Active,Surface,Operating Subsidiary,Preparation Plant,"Arc Jamboree, Llc","251 Tollage Creek, Pikeville, KY 41501",,Appalachia Central,0,5,"16,296"
2023,1513193,Phelps Coal Tipple (T-2),Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Preparation Plant,"Northstar Operating Company, L","1278 Upper Johns Creek Road, Kimper, KY 41539",,Appalachia Central,0,5,"9,992"
2023,1513193,Phelps Coal Tipple (T-2),Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Preparation Plant,"Northstar Operating Company, L","1278 Upper Johns Creek Road, Kimper, KY 41539",,Appalachia Central,0,0,752
2023,1514468,Rob Fork Processing,Kentucky (East),Pike,Active,Surface,Operating Subsidiary,Preparation Plant,"Arc Kentucky Resources, Llc","265 Hambley Blvd. Suite 200, Pikeville, KY 41501",,Appalachia Central,0,1,"1,635"
2023,1514468,Rob Fork Processing,Kentucky (East),Pike,Active,Underground,Operating Subsidiary,Preparation Plant,"Arc Kentucky Resources, Llc","265 Hambley Blvd. Suite 200, Pikeville, KY 41501",,Appalachia Central,0,10,"31,065"
2023,1516734,Ce#2,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Preparation Plant,"Clintwood Jod, Llc","23956 Hwy. 194 E., Feds Creek, KY 41524",,Appalachia Central,0,6,"14,108"
2023,1516734,Ce#2,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Preparation Plant,"Clintwood Jod, Llc","23956 Hwy. 194 E., Feds Creek, KY 41524",,Appalachia Central,0,40,"1,03,461"
